#! FIELDS tica file.free der_tica
#! SET min_tica -4.26619
#! SET max_tica 4.3657
#! SET nbins_tica  99
#! SET periodic_tica false
   -4.266190000   64.214668853   -0.079888390
   -4.178109490   64.201023188   -0.251447125
   -4.090028980   64.162314146   -0.681171425
   -4.001948469   64.066526341   -1.598812974
   -3.913867959   63.858225616   -3.276480036
   -3.825787449   63.462886946   -5.840964893
   -3.737706939   62.811071135   -9.003982595
   -3.649626429   61.884764284  -11.876976926
   -3.561545918   60.766382309  -13.134459265
   -3.473465408   59.652396188  -11.633633785
   -3.385384898   58.803807830   -7.174914926
   -3.297304388   58.440412765   -0.907052909
   -3.209223878   58.632202789    5.003285333
   -3.121143367   59.239109464    8.140790090
   -3.033062857   59.929316265    6.666273798
   -2.944982347   60.253226706   -0.211172245
   -2.856901837   59.746212008  -11.991918926
   -2.768821327   58.055792382  -26.588897903
   -2.680740816   55.088820750  -40.213710345
   -2.592660306   51.141629844  -48.042576349
   -2.504579796   46.912819424  -46.156720297
   -2.416499286   43.315791729  -33.970619188
   -2.328418776   41.116560769  -15.468868751
   -2.240338265   40.563830592    2.138749015
   -2.152257755   41.250470521   11.688606440
   -2.064177245   42.271383461    9.483321191
   -1.976096735   42.596880970   -3.587811632
   -1.888016224   41.445447322  -23.161518146
   -1.799935714   38.488046111  -43.684304015
   -1.711855204   33.864228581  -60.297815929
   -1.623774694   28.077851277  -69.687496337
   -1.535694184   21.845850055  -70.301624347
   -1.447613673   15.947803091  -62.321527976
   -1.359533163   11.070704345  -47.556138510
   -1.271452653    7.682138949  -29.163596829
   -1.183372143    5.935974699  -10.796209083
   -1.095291633    5.689072439    4.496133085
   -1.007211122    6.598844207   15.415231433
   -0.919130612    8.291881909   22.493038236
   -0.831050102   10.495473004   27.264512037
   -0.742969592   13.071053409   31.114510629
   -0.654889082   15.965534335   34.461112751
   -0.566808571   19.122715791   37.001222941
   -0.478728061   22.447679014   38.150119561
   -0.390647551   25.799036993   37.549449664
   -0.302567041   29.009123716   34.876591386
   -0.214486531   31.878162138   29.719599413
   -0.126406020   34.170058337   21.730355894
   -0.038325510   35.635108690   11.092261206
    0.049755000   36.078871224   -1.276410474
    0.137835510   35.415652668  -13.743938206
    0.225916020   33.710320541  -24.634658691
    0.313996531   31.167896945  -32.618081769
    0.402077041   28.081393842  -36.883770817
    0.490157551   24.780637193  -37.563014462
    0.578238061   21.541212894  -35.729006021
    0.666318571   18.510256410  -33.187805884
    0.754399082   15.672378414  -31.484172549
    0.842479592   12.923742138  -31.151416233
    0.930560102   10.170412971  -31.352379643
    1.018640612    7.428271345  -30.632548010
    1.106721122    4.836865522  -27.811050052
    1.194801633    2.609016728  -22.367428737
    1.282882143    0.968891793  -14.566246522
    1.370962653    0.085243398   -5.447469318
    1.459043163    0.000000000    3.269684588
    1.547123673    0.593019117    9.584682716
    1.635204184    1.584249735   12.221764014
    1.723284694    2.648616891   11.405703271
    1.811365204    3.550404899    8.939356624
    1.899445714    4.238404688    6.848949507
    1.987526224    4.806057224    6.179934722
    2.075606735    5.362491243    6.374738879
    2.163687245    5.920278985    6.009577632
    2.251767755    6.382823136    4.124802095
    2.339848265    6.621280601    1.115244324
    2.427928776    6.590827966   -1.825302375
    2.516009286    6.351196693   -3.452406738
    2.604089796    6.044331978   -3.351539700
    2.692170306    5.818435550   -1.613937254
    2.780250816    5.811546200    1.655135665
    2.868331327    6.179756685    7.046467852
    2.956411837    7.166809098   16.002714689
    3.044492347    9.156916164   29.989386431
    3.132572857   12.610660442   49.013829447
    3.220653367   17.866650231   70.165785067
    3.308733878   24.877717732   87.841779233
    3.396814388   33.069048014   96.140380836
    3.484894898   41.456666651   92.121371216
    3.572975408   48.993456713   77.516260133
    3.661055918   54.956485181   57.379219177
    3.749136429   59.118189427   37.440992927
    3.837216939   61.683913639   21.596570514
    3.925297449   63.086862724   10.996907833
    4.013377959   63.765290592    4.961901524
    4.101458469   64.057480838    1.968864595
    4.189538980   64.169795387    0.666262887
    4.277619490   64.208250816    0.168794057
    4.365700000   64.218548718    0.024269748
