#! FIELDS LAG_TIME EIGVEC0_phi1 EIGVEC1_psi1 EIGVEC2_theta1
#! SET COMPONENT  1
 0.000000e+00 -3.041787e-02 -4.438660e-02 -9.985512e-01
 4.000000e-02 8.832405e-02 -1.644937e-02 -9.959560e-01
 8.000000e-02 8.326547e-02 -1.230139e-02 -9.964515e-01
 1.200000e-01 7.877275e-02 -1.091188e-02 -9.968329e-01
 1.600000e-01 7.357771e-02 -1.137503e-02 -9.972246e-01
 2.000000e-01 6.817256e-02 -1.231862e-02 -9.975975e-01
 2.400000e-01 6.467431e-02 -1.254348e-02 -9.978276e-01
 2.800000e-01 6.228371e-02 -1.246301e-02 -9.979807e-01
 3.200000e-01 6.004175e-02 -1.243877e-02 -9.981184e-01
 3.600000e-01 5.871333e-02 -1.185771e-02 -9.982045e-01
 4.000000e-01 5.785866e-02 -1.114430e-02 -9.982626e-01
 4.400000e-01 5.641395e-02 -1.100840e-02 -9.983468e-01
 4.800000e-01 5.424170e-02 -1.129327e-02 -9.984640e-01
 5.200000e-01 5.236851e-02 -1.177609e-02 -9.985584e-01
 5.600000e-01 5.037245e-02 -1.239793e-02 -9.986535e-01
 6.000000e-01 4.860921e-02 -1.277109e-02 -9.987362e-01
 6.400000e-01 4.701782e-02 -1.313419e-02 -9.988077e-01
 6.800000e-01 4.594087e-02 -1.319716e-02 -9.988570e-01
 7.200000e-01 4.440987e-02 -1.349874e-02 -9.989222e-01
 7.600000e-01 4.261702e-02 -1.400495e-02 -9.989933e-01
 8.000000e-01 4.087357e-02 -1.457608e-02 -9.990580e-01
 8.400000e-01 4.000845e-02 -1.459769e-02 -9.990927e-01
 8.800000e-01 3.945423e-02 -1.432545e-02 -9.991187e-01
 9.200000e-01 3.927660e-02 -1.374892e-02 -9.991338e-01
 9.600000e-01 3.923854e-02 -1.318881e-02 -9.991428e-01
 1.000000e+00 3.924108e-02 -1.269538e-02 -9.991491e-01
 1.040000e+00 3.863338e-02 -1.266500e-02 -9.991732e-01
 1.080000e+00 3.782093e-02 -1.306181e-02 -9.991992e-01
 1.120000e+00 3.876363e-02 -1.221121e-02 -9.991738e-01
 1.160000e+00 3.993653e-02 -1.109179e-02 -9.991407e-01
 1.200000e+00 4.140495e-02 -9.618339e-03 -9.990962e-01
 1.240000e+00 4.233388e-02 -8.619057e-03 -9.990663e-01
 1.280000e+00 4.329699e-02 -7.547481e-03 -9.990337e-01
 1.320000e+00 4.381543e-02 -6.737401e-03 -9.990169e-01
 1.360000e+00 4.411610e-02 -6.080146e-03 -9.990079e-01
 1.400000e+00 4.332784e-02 -6.433861e-03 -9.990402e-01
 1.440000e+00 4.369064e-02 -5.868435e-03 -9.990279e-01
 1.480000e+00 4.381805e-02 -5.503215e-03 -9.990244e-01
 1.520000e+00 4.219802e-02 -6.519791e-03 -9.990880e-01
 1.560000e+00 4.094770e-02 -7.281206e-03 -9.991348e-01
 1.600000e+00 4.226674e-02 -5.928149e-03 -9.990888e-01
 1.640000e+00 4.174041e-02 -6.033585e-03 -9.991103e-01
 1.680000e+00 3.846771e-02 -8.283999e-03 -9.992255e-01
 1.720000e+00 3.450263e-02 -1.101466e-02 -9.993439e-01
 1.760000e+00 3.170660e-02 -1.292572e-02 -9.994136e-01
 1.800000e+00 2.697202e-02 -1.630895e-02 -9.995031e-01
 1.840000e+00 2.644351e-02 -1.630795e-02 -9.995173e-01
 1.880000e+00 2.657453e-02 -1.596320e-02 -9.995194e-01
 1.920000e+00 2.629155e-02 -1.599024e-02 -9.995264e-01
 1.960000e+00 2.250847e-02 -1.881665e-02 -9.995696e-01
 2.000000e+00 2.171426e-02 -1.942921e-02 -9.995754e-01
 2.040000e+00 2.536699e-02 -1.651870e-02 -9.995417e-01
 2.080000e+00 3.290135e-02 -1.029024e-02 -9.994056e-01
 2.120000e+00 4.619396e-02 7.231969e-04 -9.989322e-01
 2.160000e+00 5.929988e-02 1.143359e-02 -9.981747e-01
 2.200000e+00 6.910487e-02 1.934681e-02 -9.974218e-01
 2.240000e+00 8.494635e-02 3.208432e-02 -9.958688e-01
 2.280000e+00 1.090520e-01 5.167608e-02 -9.926919e-01
 2.320000e+00 1.429600e-01 7.949757e-02 -9.865306e-01
 2.360000e+00 1.792202e-01 1.095247e-01 -9.776934e-01
 2.400000e+00 2.205310e-01 1.441285e-01 -9.646725e-01
 2.440000e+00 2.569068e-01 1.745955e-01 -9.505342e-01
 2.480000e+00 2.849013e-01 1.984263e-01 -9.377943e-01
 2.520000e+00 3.243017e-01 2.319078e-01 -9.170862e-01
 2.560000e+00 3.621391e-01 2.636594e-01 -8.940576e-01
 2.600000e+00 4.006165e-01 2.963666e-01 -8.669909e-01
 2.640000e+00 4.509402e-01 3.394907e-01 -8.254689e-01
 2.680000e+00 4.749821e-01 3.602479e-01 -8.028783e-01
 2.720000e+00 5.042393e-01 3.846689e-01 -7.731575e-01
 2.760000e+00 5.207095e-01 3.981276e-01 -7.552192e-01
