#! FIELDS LAG_TIME EIGVEC0_phi1 EIGVEC1_psi1 EIGVEC2_theta1
#! SET COMPONENT  1
 2.800000e+00 5.342339e-01 4.096606e-01 -7.394406e-01
 2.840000e+00 5.538211e-01 4.266450e-01 -7.150218e-01
 2.880000e+00 5.605027e-01 4.331040e-01 -7.058737e-01
 2.920000e+00 5.932814e-01 4.623575e-01 -6.589709e-01
 2.960000e+00 6.254968e-01 4.916171e-01 -6.058600e-01
 3.000000e+00 6.563308e-01 5.201058e-01 -5.465527e-01
 3.040000e+00 6.759398e-01 5.386635e-01 -5.029384e-01
 3.080000e+00 6.893983e-01 5.508462e-01 -4.704238e-01
 3.120000e+00 6.841112e-01 5.466878e-01 -4.828294e-01
 3.160000e+00 6.922106e-01 5.547248e-01 -4.616545e-01
 3.200000e+00 6.935427e-01 5.569255e-01 -4.569819e-01
 3.240000e+00 6.825556e-01 5.476767e-01 -4.839091e-01
 3.280000e+00 6.855332e-01 5.517010e-01 -4.750476e-01
 3.320000e+00 7.037769e-01 5.699300e-01 -4.241201e-01
 3.360000e+00 7.354980e-01 6.011339e-01 -3.125393e-01
 3.400000e+00 7.684907e-01 6.389733e-01 -3.369310e-02
 3.440000e+00 7.684452e-01 6.397509e-01 1.451683e-02
 3.480000e+00 7.573001e-01 6.349454e-01 1.527771e-01
 3.520000e+00 7.391674e-01 6.227740e-01 2.564842e-01
 3.560000e+00 7.246943e-01 6.127861e-01 3.151370e-01
 3.600000e+00 7.014512e-01 5.963593e-01 3.902842e-01
 3.640000e+00 6.750741e-01 5.771681e-01 4.595128e-01
 3.680000e+00 6.644927e-01 5.704907e-01 4.826903e-01
 3.720000e+00 6.578025e-01 5.666966e-01 4.961359e-01
 3.760000e+00 6.226582e-01 5.405837e-01 5.657438e-01
 3.800000e+00 6.143263e-01 5.337599e-01 5.811227e-01
 3.840000e+00 6.328397e-01 5.463716e-01 5.486273e-01
 3.880000e+00 6.463158e-01 5.566110e-01 5.219771e-01
 3.920000e+00 6.434888e-01 5.544131e-01 5.277767e-01
 3.960000e+00 6.616326e-01 5.677255e-01 4.898266e-01
 4.000000e+00 6.821159e-01 5.823647e-01 4.422321e-01
