#! FIELDS LAG_TIME EIGVEC0_phi1 EIGVEC1_psi1 EIGVEC2_theta1
#! SET COMPONENT  0
 0.000000e+00 9.989557e-01 -3.542387e-02 -2.885556e-02
 4.000000e-02 -5.640497e-01 1.363493e-01 -8.144058e-01
 8.000000e-02 -6.217406e-01 1.230804e-01 -7.734919e-01
 1.200000e-01 -6.563131e-01 1.205787e-01 -7.447912e-01
 1.600000e-01 -6.823287e-01 1.220299e-01 -7.207886e-01
 2.000000e-01 -7.068469e-01 1.248364e-01 -6.962639e-01
 2.400000e-01 -7.259733e-01 1.271296e-01 -6.758704e-01
 2.800000e-01 -7.410481e-01 1.283635e-01 -6.590679e-01
 3.200000e-01 -7.548884e-01 1.303007e-01 -6.427793e-01
 3.600000e-01 -7.674166e-01 1.319530e-01 -6.274235e-01
 4.000000e-01 -7.780608e-01 1.334365e-01 -6.138535e-01
 4.400000e-01 -7.880124e-01 1.352033e-01 -6.006301e-01
 4.800000e-01 -7.993167e-01 1.373854e-01 -5.849941e-01
 5.200000e-01 -8.072806e-01 1.391962e-01 -5.735177e-01
 5.600000e-01 -8.149527e-01 1.411019e-01 -5.620875e-01
 6.000000e-01 -8.230394e-01 1.432079e-01 -5.496341e-01
 6.400000e-01 -8.300910e-01 1.459731e-01 -5.381829e-01
 6.800000e-01 -8.361977e-01 1.486205e-01 -5.279066e-01
 7.200000e-01 -8.432744e-01 1.514803e-01 -5.156957e-01
 7.600000e-01 -8.503916e-01 1.538958e-01 -5.031404e-01
 8.000000e-01 -8.566517e-01 1.566788e-01 -4.915279e-01
 8.400000e-01 -8.616324e-01 1.589380e-01 -4.820045e-01
 8.800000e-01 -8.668896e-01 1.606584e-01 -4.719018e-01
 9.200000e-01 -8.720799e-01 1.622478e-01 -4.616841e-01
 9.600000e-01 -8.762843e-01 1.638661e-01 -4.530714e-01
 1.000000e+00 -8.797350e-01 1.659374e-01 -4.455683e-01
 1.040000e+00 -8.833945e-01 1.683825e-01 -4.373345e-01
 1.080000e+00 -8.852053e-01 1.701804e-01 -4.329552e-01
 1.120000e+00 -8.857688e-01 1.714413e-01 -4.313020e-01
 1.160000e+00 -8.869148e-01 1.730964e-01 -4.282754e-01
 1.200000e+00 -8.888747e-01 1.750832e-01 -4.233765e-01
 1.240000e+00 -8.905866e-01 1.763044e-01 -4.192520e-01
 1.280000e+00 -8.925971e-01 1.769092e-01 -4.146970e-01
 1.320000e+00 -8.952509e-01 1.772180e-01 -4.088026e-01
 1.360000e+00 -8.980356e-01 1.777432e-01 -4.024170e-01
 1.400000e+00 -8.999416e-01 1.785130e-01 -3.977916e-01
 1.440000e+00 -9.017483e-01 1.792039e-01 -3.933650e-01
 1.480000e+00 -9.034629e-01 1.791978e-01 -3.894135e-01
 1.520000e+00 -9.053845e-01 1.789743e-01 -3.850287e-01
 1.560000e+00 -9.070169e-01 1.789662e-01 -3.811712e-01
 1.600000e+00 -9.088343e-01 1.794148e-01 -3.766039e-01
 1.640000e+00 -9.108756e-01 1.794897e-01 -3.716033e-01
 1.680000e+00 -9.134422e-01 1.802542e-01 -3.648722e-01
 1.720000e+00 -9.164826e-01 1.810938e-01 -3.567418e-01
 1.760000e+00 -9.187016e-01 1.813177e-01 -3.508720e-01
 1.800000e+00 -9.215465e-01 1.814031e-01 -3.432855e-01
 1.840000e+00 -9.241891e-01 1.809174e-01 -3.363680e-01
 1.880000e+00 -9.256015e-01 1.810754e-01 -3.323756e-01
 1.920000e+00 -9.268361e-01 1.805982e-01 -3.291796e-01
 1.960000e+00 -9.284310e-01 1.797381e-01 -3.251308e-01
 2.000000e+00 -9.287063e-01 1.789915e-01 -3.247562e-01
 2.040000e+00 -9.283088e-01 1.783089e-01 -3.262648e-01
 2.080000e+00 -9.286698e-01 1.780974e-01 -3.253517e-01
 2.120000e+00 -9.293247e-01 1.777077e-01 -3.236906e-01
 2.160000e+00 -9.290347e-01 1.774383e-01 -3.246694e-01
 2.200000e+00 -9.283410e-01 1.778650e-01 -3.264154e-01
 2.240000e+00 -9.267815e-01 1.775361e-01 -3.309941e-01
 2.280000e+00 -9.252057e-01 1.766407e-01 -3.358459e-01
 2.320000e+00 -9.237156e-01 1.752563e-01 -3.406387e-01
 2.360000e+00 -9.225310e-01 1.735766e-01 -3.446849e-01
 2.400000e+00 -9.225909e-01 1.725205e-01 -3.450546e-01
 2.440000e+00 -9.228229e-01 1.725866e-01 -3.444006e-01
 2.480000e+00 -9.241164e-01 1.724848e-01 -3.409662e-01
 2.520000e+00 -9.251282e-01 1.723480e-01 -3.382810e-01
 2.560000e+00 -9.237471e-01 1.719870e-01 -3.422161e-01
 2.600000e+00 -9.230846e-01 1.714323e-01 -3.442758e-01
 2.640000e+00 -9.213493e-01 1.699914e-01 -3.495974e-01
 2.680000e+00 -9.202386e-01 1.691159e-01 -3.529316e-01
 2.720000e+00 -9.181514e-01 1.696151e-01 -3.580904e-01
 2.760000e+00 -9.161430e-01 1.700436e-01 -3.629975e-01
 2.800000e+00 -9.154448e-01 1.700469e-01 -3.647533e-01
 2.840000e+00 -9.151312e-01 1.700158e-01 -3.655538e-01
 2.880000e+00 -9.152911e-01 1.689895e-01 -3.656292e-01
 2.920000e+00 -9.150776e-01 1.681453e-01 -3.665516e-01
 2.960000e+00 -9.162321e-01 1.677025e-01 -3.638608e-01
 3.000000e+00 -9.169177e-01 1.669125e-01 -3.624944e-01
 3.040000e+00 -9.183681e-01 1.666047e-01 -3.589470e-01
 3.080000e+00 -9.189967e-01 1.671882e-01 -3.570618e-01
 3.120000e+00 -9.194503e-01 1.663837e-01 -3.562689e-01
 3.160000e+00 -9.191152e-01 1.655052e-01 -3.575406e-01
 3.200000e+00 -9.182264e-01 1.638241e-01 -3.605855e-01
 3.240000e+00 -9.193851e-01 1.630134e-01 -3.579913e-01
 3.280000e+00 -9.182726e-01 1.608238e-01 -3.618164e-01
 3.320000e+00 -9.174049e-01 1.590510e-01 -3.647890e-01
 3.360000e+00 -9.171145e-01 1.585172e-01 -3.657503e-01
 3.400000e+00 -9.152031e-01 1.588405e-01 -3.703687e-01
 3.440000e+00 -9.146937e-01 1.600414e-01 -3.711095e-01
 3.480000e+00 -9.135330e-01 1.610396e-01 -3.735288e-01
 3.520000e+00 -9.122519e-01 1.623277e-01 -3.760933e-01
 3.560000e+00 -9.116910e-01 1.626553e-01 -3.773100e-01
 3.600000e+00 -9.125131e-01 1.631408e-01 -3.751065e-01
 3.640000e+00 -9.127367e-01 1.633910e-01 -3.744531e-01
 3.680000e+00 -9.105207e-01 1.613271e-01 -3.806909e-01
 3.720000e+00 -9.078920e-01 1.591109e-01 -3.878347e-01
 3.760000e+00 -9.051721e-01 1.583101e-01 -3.944634e-01
 3.800000e+00 -9.053994e-01 1.591504e-01 -3.936026e-01
 3.840000e+00 -9.054276e-01 1.611732e-01 -3.927137e-01
 3.880000e+00 -9.053420e-01 1.608846e-01 -3.930294e-01
 3.920000e+00 -9.058003e-01 1.611141e-01 -3.918776e-01
 3.960000e+00 -9.084074e-01 1.618431e-01 -3.854905e-01
 4.000000e+00 -9.095221e-01 1.625895e-01 -3.825365e-01
