#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
ROW2_theta1 7.777243e-03 -1.099742e-02 1.748805e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.080000e+00
#! SET NORMALIZATION  2.812688e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.932981e-01 -2.336528e-01 8.737196e-03
ROW1_psi1 -2.339010e-01 2.965002e-01 -1.173145e-02
ROW2_theta1 7.718970e-03 -1.094974e-02 1.612355e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.120000e+00
#! SET NORMALIZATION  2.812648e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.903689e-01 -2.301143e-01 8.572619e-03
ROW1_psi1 -2.302977e-01 2.908438e-01 -1.166129e-02
ROW2_theta1 7.606830e-03 -1.084944e-02 1.485710e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.160000e+00
#! SET NORMALIZATION  2.812608e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.874342e-01 -2.266474e-01 8.428115e-03
ROW1_psi1 -2.266642e-01 2.859068e-01 -1.161143e-02
ROW2_theta1 7.541147e-03 -1.077711e-02 1.383548e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.200000e+00
#! SET NORMALIZATION  2.812568e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.845582e-01 -2.234295e-01 8.315483e-03
ROW1_psi1 -2.235996e-01 2.812471e-01 -1.149208e-02
ROW2_theta1 7.499937e-03 -1.073967e-02 1.287057e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.240000e+00
#! SET NORMALIZATION  2.812528e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.818571e-01 -2.203647e-01 8.229106e-03
ROW1_psi1 -2.202046e-01 2.771592e-01 -1.148180e-02
ROW2_theta1 7.484516e-03 -1.074229e-02 1.204392e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.280000e+00
#! SET NORMALIZATION  2.812488e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.793156e-01 -2.171018e-01 8.154797e-03
ROW1_psi1 -2.167822e-01 2.735842e-01 -1.150532e-02
ROW2_theta1 7.464427e-03 -1.071304e-02 1.122160e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.320000e+00
#! SET NORMALIZATION  2.812448e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.769899e-01 -2.137492e-01 8.108229e-03
ROW1_psi1 -2.136828e-01 2.700016e-01 -1.157124e-02
ROW2_theta1 7.410388e-03 -1.070270e-02 1.044841e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.360000e+00
#! SET NORMALIZATION  2.812408e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.747230e-01 -2.103417e-01 8.003656e-03
ROW1_psi1 -2.106083e-01 2.662447e-01 -1.150088e-02
ROW2_theta1 7.389218e-03 -1.078518e-02 9.780096e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.400000e+00
#! SET NORMALIZATION  2.812368e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.727486e-01 -2.074178e-01 7.828491e-03
ROW1_psi1 -2.078983e-01 2.629951e-01 -1.139831e-02
ROW2_theta1 7.375023e-03 -1.088326e-02 9.033237e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.440000e+00
#! SET NORMALIZATION  2.812328e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.708433e-01 -2.050476e-01 7.672610e-03
ROW1_psi1 -2.055371e-01 2.602641e-01 -1.132777e-02
ROW2_theta1 7.369237e-03 -1.084299e-02 8.236935e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.480000e+00
#! SET NORMALIZATION  2.812288e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.690539e-01 -2.028161e-01 7.474060e-03
ROW1_psi1 -2.031103e-01 2.572945e-01 -1.120945e-02
ROW2_theta1 7.332044e-03 -1.077657e-02 7.536732e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.520000e+00
#! SET NORMALIZATION  2.812248e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.672268e-01 -2.005610e-01 7.311551e-03
ROW1_psi1 -2.005473e-01 2.545959e-01 -1.107975e-02
ROW2_theta1 7.291512e-03 -1.068534e-02 6.760983e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.560000e+00
#! SET NORMALIZATION  2.812208e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.651446e-01 -1.982742e-01 7.218584e-03
ROW1_psi1 -1.980336e-01 2.513051e-01 -1.101640e-02
ROW2_theta1 7.370001e-03 -1.053237e-02 5.899756e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.600000e+00
#! SET NORMALIZATION  2.812168e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.631618e-01 -1.961065e-01 7.130919e-03
ROW1_psi1 -1.952830e-01 2.482011e-01 -1.097178e-02
ROW2_theta1 7.381418e-03 -1.032270e-02 5.217827e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.640000e+00
#! SET NORMALIZATION  2.812128e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.611815e-01 -1.936998e-01 7.082534e-03
ROW1_psi1 -1.922300e-01 2.452973e-01 -1.109612e-02
ROW2_theta1 7.401051e-03 -1.011656e-02 4.564170e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.680000e+00
#! SET NORMALIZATION  2.812088e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.591879e-01 -1.915318e-01 7.009581e-03
ROW1_psi1 -1.893060e-01 2.420602e-01 -1.130420e-02
ROW2_theta1 7.389844e-03 -9.825379e-03 3.966123e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.720000e+00
#! SET NORMALIZATION  2.812048e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.570217e-01 -1.894001e-01 6.952538e-03
ROW1_psi1 -1.867431e-01 2.394602e-01 -1.144721e-02
ROW2_theta1 7.425232e-03 -9.656080e-03 3.290620e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.760000e+00
#! SET NORMALIZATION  2.812008e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.549283e-01 -1.871635e-01 6.889964e-03
ROW1_psi1 -1.843149e-01 2.369632e-01 -1.150473e-02
ROW2_theta1 7.437813e-03 -9.650110e-03 2.738915e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.800000e+00
#! SET NORMALIZATION  2.811968e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.530608e-01 -1.850799e-01 6.818424e-03
ROW1_psi1 -1.818986e-01 2.342817e-01 -1.153310e-02
ROW2_theta1 7.396567e-03 -9.627937e-03 2.030520e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.840000e+00
#! SET NORMALIZATION  2.811928e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.514165e-01 -1.832046e-01 6.735150e-03
ROW1_psi1 -1.798636e-01 2.318001e-01 -1.142931e-02
ROW2_theta1 7.387804e-03 -9.575028e-03 1.401997e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.880000e+00
#! SET NORMALIZATION  2.811888e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.498783e-01 -1.809924e-01 6.660561e-03
ROW1_psi1 -1.779850e-01 2.287128e-01 -1.123072e-02
ROW2_theta1 7.333801e-03 -9.582929e-03 9.377735e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.920000e+00
#! SET NORMALIZATION  2.811848e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.482982e-01 -1.784983e-01 6.588530e-03
ROW1_psi1 -1.760173e-01 2.267282e-01 -1.099128e-02
ROW2_theta1 7.298928e-03 -9.535459e-03 6.957703e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.960000e+00
#! SET NORMALIZATION  2.811808e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.467198e-01 -1.761568e-01 6.468469e-03
ROW1_psi1 -1.739570e-01 2.246741e-01 -1.076318e-02
ROW2_theta1 7.234696e-03 -9.337134e-03 4.570105e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.000000e+00
#! SET NORMALIZATION  2.811768e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.451062e-01 -1.737012e-01 6.336248e-03
ROW1_psi1 -1.720045e-01 2.221961e-01 -1.058543e-02
ROW2_theta1 7.224046e-03 -9.092704e-03 9.847690e-06
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.040000e+00
#! SET NORMALIZATION  2.811728e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.434579e-01 -1.711675e-01 6.133599e-03
ROW1_psi1 -1.702033e-01 2.196361e-01 -1.028174e-02
ROW2_theta1 7.219006e-03 -8.958705e-03 -1.527555e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.080000e+00
#! SET NORMALIZATION  2.811688e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.416554e-01 -1.687321e-01 5.947858e-03
ROW1_psi1 -1.686773e-01 2.169086e-01 -1.000582e-02
ROW2_theta1 7.237866e-03 -8.803949e-03 -2.648799e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.120000e+00
#! SET NORMALIZATION  2.811648e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.399570e-01 -1.664589e-01 5.774690e-03
ROW1_psi1 -1.668333e-01 2.132480e-01 -9.764760e-03
ROW2_theta1 7.241895e-03 -8.725439e-03 -3.548552e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.160000e+00
#! SET NORMALIZATION  2.811608e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.380876e-01 -1.640373e-01 5.669744e-03
ROW1_psi1 -1.647523e-01 2.096817e-01 -9.422916e-03
ROW2_theta1 7.219858e-03 -8.667268e-03 -3.050081e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.200000e+00
#! SET NORMALIZATION  2.811568e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.363795e-01 -1.616743e-01 5.565266e-03
ROW1_psi1 -1.629952e-01 2.055588e-01 -9.167446e-03
ROW2_theta1 7.249864e-03 -8.557423e-03 -2.949065e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.240000e+00
#! SET NORMALIZATION  2.811528e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.347824e-01 -1.596715e-01 5.415823e-03
ROW1_psi1 -1.614156e-01 2.012757e-01 -8.786823e-03
ROW2_theta1 7.218854e-03 -8.496677e-03 -4.161332e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.280000e+00
#! SET NORMALIZATION  2.811488e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.331219e-01 -1.574851e-01 5.325568e-03
ROW1_psi1 -1.593150e-01 1.972363e-01 -8.473875e-03
ROW2_theta1 7.248064e-03 -8.504505e-03 -5.223192e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.320000e+00
#! SET NORMALIZATION  2.811448e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.315161e-01 -1.555504e-01 5.207750e-03
ROW1_psi1 -1.571421e-01 1.937495e-01 -8.173194e-03
ROW2_theta1 7.304734e-03 -8.429287e-03 -6.175220e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.360000e+00
#! SET NORMALIZATION  2.811408e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.298525e-01 -1.539211e-01 5.115407e-03
ROW1_psi1 -1.550567e-01 1.906186e-01 -7.854890e-03
ROW2_theta1 7.319297e-03 -8.215323e-03 -6.554213e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.400000e+00
#! SET NORMALIZATION  2.811368e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.281074e-01 -1.521805e-01 5.077864e-03
ROW1_psi1 -1.533242e-01 1.884356e-01 -7.568535e-03
ROW2_theta1 7.414498e-03 -7.971884e-03 -1.062242e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.440000e+00
#! SET NORMALIZATION  2.811328e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.264467e-01 -1.508588e-01 4.953152e-03
ROW1_psi1 -1.513510e-01 1.864207e-01 -7.391607e-03
ROW2_theta1 7.454468e-03 -7.942892e-03 -1.435679e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.480000e+00
#! SET NORMALIZATION  2.811288e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.247041e-01 -1.491538e-01 4.876060e-03
ROW1_psi1 -1.496326e-01 1.843222e-01 -7.049204e-03
ROW2_theta1 7.497278e-03 -7.945573e-03 -1.741213e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.520000e+00
#! SET NORMALIZATION  2.811248e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.231151e-01 -1.476568e-01 4.794319e-03
ROW1_psi1 -1.478925e-01 1.831030e-01 -6.824360e-03
ROW2_theta1 7.532890e-03 -7.933481e-03 -1.836281e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.560000e+00
#! SET NORMALIZATION  2.811208e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.216879e-01 -1.460578e-01 4.667236e-03
ROW1_psi1 -1.461951e-01 1.814572e-01 -6.641942e-03
ROW2_theta1 7.555526e-03 -7.887986e-03 -1.692833e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.600000e+00
#! SET NORMALIZATION  2.811168e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.202846e-01 -1.444540e-01 4.524172e-03
ROW1_psi1 -1.446933e-01 1.792600e-01 -6.434642e-03
ROW2_theta1 7.536875e-03 -7.725407e-03 -1.553515e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.640000e+00
#! SET NORMALIZATION  2.811128e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.188772e-01 -1.428055e-01 4.423002e-03
ROW1_psi1 -1.432348e-01 1.769674e-01 -6.073090e-03
ROW2_theta1 7.504852e-03 -7.763481e-03 -1.410901e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.680000e+00
#! SET NORMALIZATION  2.811088e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.175507e-01 -1.407479e-01 4.381425e-03
ROW1_psi1 -1.416742e-01 1.743986e-01 -5.794530e-03
ROW2_theta1 7.528836e-03 -7.932006e-03 -1.397942e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.720000e+00
#! SET NORMALIZATION  2.811048e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.162613e-01 -1.384798e-01 4.331234e-03
ROW1_psi1 -1.402108e-01 1.722943e-01 -5.681204e-03
ROW2_theta1 7.575091e-03 -7.984719e-03 -1.388273e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.760000e+00
#! SET NORMALIZATION  2.811008e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.148534e-01 -1.365491e-01 4.309215e-03
ROW1_psi1 -1.386088e-01 1.709421e-01 -5.513593e-03
ROW2_theta1 7.621110e-03 -7.949537e-03 -1.443449e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.800000e+00
#! SET NORMALIZATION  2.810968e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.132133e-01 -1.348067e-01 4.212920e-03
ROW1_psi1 -1.365876e-01 1.690893e-01 -5.392206e-03
ROW2_theta1 7.541979e-03 -7.841028e-03 -1.374808e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.840000e+00
#! SET NORMALIZATION  2.810928e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.115081e-01 -1.330169e-01 4.091631e-03
ROW1_psi1 -1.348903e-01 1.673047e-01 -5.253210e-03
ROW2_theta1 7.444892e-03 -7.940243e-03 -1.062346e-04
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.880000e+00
#! SET NORMALIZATION  2.810888e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.101066e-01 -1.306705e-01 3.980520e-03
ROW1_psi1 -1.333512e-01 1.658926e-01 -5.166425e-03
ROW2_theta1 7.378582e-03 -7.948774e-03 -8.764979e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.920000e+00
#! SET NORMALIZATION  2.810848e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.085976e-01 -1.278838e-01 3.842379e-03
ROW1_psi1 -1.319882e-01 1.648171e-01 -5.035097e-03
ROW2_theta1 7.310069e-03 -7.893494e-03 -6.044872e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  3.960000e+00
#! SET NORMALIZATION  2.810808e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.072073e-01 -1.253269e-01 3.668931e-03
ROW1_psi1 -1.309095e-01 1.630989e-01 -4.927527e-03
ROW2_theta1 7.206912e-03 -7.807140e-03 -6.385545e-05
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.000000e+00
#! SET NORMALIZATION  2.810768e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.055264e-01 -1.230654e-01 3.537828e-03
ROW1_psi1 -1.294262e-01 1.601949e-01 -4.807103e-03
ROW2_theta1 7.101917e-03 -7.783174e-03 -6.242168e-05
