#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  4.800000e-01
#! SET NORMALIZATION  2.814288e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.629780e-01 -3.918332e-01 1.103215e-02
ROW1_psi1 -3.945604e-01 6.871660e-01 -3.246557e-02
ROW2_theta1 1.068341e-02 -3.200926e-02 1.840946e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  5.200000e-01
#! SET NORMALIZATION  2.814248e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.565653e-01 -3.882049e-01 1.120861e-02
ROW1_psi1 -3.916259e-01 6.613951e-01 -3.142020e-02
ROW2_theta1 1.074630e-02 -3.114853e-02 1.755027e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  5.600000e-01
#! SET NORMALIZATION  2.814208e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.503449e-01 -3.846657e-01 1.134342e-02
ROW1_psi1 -3.885439e-01 6.374546e-01 -3.029771e-02
ROW2_theta1 1.080975e-02 -3.034013e-02 1.672647e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  6.000000e-01
#! SET NORMALIZATION  2.814168e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.444719e-01 -3.813024e-01 1.148138e-02
ROW1_psi1 -3.853109e-01 6.157264e-01 -2.927261e-02
ROW2_theta1 1.079724e-02 -2.954336e-02 1.593285e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  6.400000e-01
#! SET NORMALIZATION  2.814128e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.387611e-01 -3.782936e-01 1.163189e-02
ROW1_psi1 -3.820483e-01 5.968127e-01 -2.836358e-02
ROW2_theta1 1.076121e-02 -2.876910e-02 1.517478e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  6.800000e-01
#! SET NORMALIZATION  2.814088e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.331685e-01 -3.752325e-01 1.176057e-02
ROW1_psi1 -3.783657e-01 5.796987e-01 -2.770873e-02
ROW2_theta1 1.074482e-02 -2.792507e-02 1.442294e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  7.200000e-01
#! SET NORMALIZATION  2.814048e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.277788e-01 -3.720970e-01 1.189866e-02
ROW1_psi1 -3.747039e-01 5.640313e-01 -2.701416e-02
ROW2_theta1 1.065416e-02 -2.698358e-02 1.369127e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  7.600000e-01
#! SET NORMALIZATION  2.814008e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.225640e-01 -3.685564e-01 1.197957e-02
ROW1_psi1 -3.709880e-01 5.491037e-01 -2.620023e-02
ROW2_theta1 1.057544e-02 -2.607555e-02 1.299062e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  8.000000e-01
#! SET NORMALIZATION  2.813968e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 3.174034e-01 -3.653312e-01 1.201885e-02
ROW1_psi1 -3.670570e-01 5.358057e-01 -2.553135e-02
ROW2_theta1 1.054881e-02 -2.510218e-02 1.230591e-02
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
